call_address	target_register	instruction	selector_pair	receiver_pair	argument_pair
0x00781b28	r3	blx r3	unknown	unknown	unknown
0x00781b4c	r3	blx r3	unknown	unknown	unknown
0x00781bc4	r2	blx r2	unknown	unknown	unknown
0x00781bd4	r2	blx r2	unknown	unknown	unknown
0x00781c40	r3	blx r3	unknown	unknown	unknown
0x00781c98	r2	blx r2	unknown	unknown	unknown
0x00781db0	r5	blx r5	unknown	unknown	unknown
0x00781de4	ip	blx ip	unknown	unknown	unknown
0x00781e10	r3	blx r3	unknown	unknown	unknown
0x00781e3c	r3	blx r3	unknown	unknown	unknown
0x00781e4c	r2	blx r2	unknown	unknown	unknown
