call_address	target_register	instruction	selector_pair	receiver_pair	argument_pair
0x008cc030	r7	blx r7	unknown	unknown	unknown
0x008cc050	r3	blx r3	unknown	unknown	unknown
0x008cc0a8	lr	blx lr	unknown	unknown	unknown
0x008cc194	ip	blx ip	unknown	unknown	unknown
0x008cc1a8	r2	blx r2	unknown	unknown	unknown
0x008cc1e8	r3	blx r3	unknown	unknown	unknown
0x008cc230	ip	blx ip	unknown	unknown	unknown
0x008cc29c	ip	blx ip	unknown	unknown	unknown
0x008cc37c	lr	blx lr	unknown	unknown	unknown
0x008cc444	ip	blx ip	unknown	unknown	unknown
0x008cc45c	ip	blx ip	unknown	unknown	unknown
0x008cc4c0	ip	blx ip	unknown	unknown	unknown
0x008cc570	r3	blx r3	unknown	unknown	unknown
0x008cc59c	r2	blx r2	unknown	unknown	unknown
0x008cc630	lr	blx lr	unknown	unknown	unknown
0x008cc71c	r5	blx r5	unknown	unknown	unknown
0x008cc730	r2	blx r2	unknown	unknown	unknown
0x008cc758	ip	blx ip	unknown	unknown	unknown
0x008cc7c4	ip	blx ip	unknown	unknown	unknown
0x008cc84c	ip	blx ip	unknown	unknown	unknown
0x008cc85c	r2	blx r2	unknown	unknown	unknown
0x008cc954	r2	blx r2	unknown	unknown	unknown
0x008cc974	r3	blx r3	unknown	unknown	unknown
0x008cc9cc	lr	blx lr	unknown	unknown	unknown
0x008ccab4	ip	blx ip	unknown	unknown	unknown
0x008ccac8	r2	blx r2	unknown	unknown	unknown
0x008ccb08	r3	blx r3	unknown	unknown	unknown
0x008ccb78	ip	blx ip	unknown	unknown	unknown
0x008ccbe0	ip	blx ip	unknown	unknown	unknown
0x008ccc24	r2	blx r2	unknown	unknown	unknown
0x008cccb0	lr	blx lr	unknown	unknown	unknown
0x008ccd98	r5	blx r5	unknown	unknown	unknown
0x008ccdac	r2	blx r2	unknown	unknown	unknown
0x008ccdd4	ip	blx ip	unknown	unknown	unknown
0x008cce38	ip	blx ip	unknown	unknown	unknown
0x008cced4	r2	blx r2	unknown	unknown	unknown
0x008ccf2c	lr	blx lr	unknown	unknown	unknown
0x008cd018	ip	blx ip	unknown	unknown	unknown
0x008cd02c	r2	blx r2	unknown	unknown	unknown
0x008cd06c	r3	blx r3	unknown	unknown	unknown
0x008cd0dc	ip	blx ip	unknown	unknown	unknown
0x008cd14c	ip	blx ip	unknown	unknown	unknown
0x008cd190	r2	blx r2	unknown	unknown	unknown
0x008cd1fc	r2	blx r2	unknown	unknown	unknown
0x008cd240	lr	blx lr	unknown	unknown	unknown
0x008cd328	r5	blx r5	unknown	unknown	unknown
0x008cd33c	r2	blx r2	unknown	unknown	unknown
0x008cd364	ip	blx ip	unknown	unknown	unknown
0x008cd3c8	ip	blx ip	unknown	unknown	unknown
0x008cd420	r2	blx r2	unknown	unknown	unknown
0x008cd6b0	ip	blx ip	unknown	unknown	unknown
0x008cd6c4	r2	blx r2	unknown	unknown	unknown
0x008cdbec	r2	blx r2	unknown	unknown	unknown
0x008cdc58	r2	blx r2	unknown	unknown	unknown
0x008cde1c	lr	blx lr	unknown	unknown	unknown
0x008cfb1c	lr	blx lr	unknown	unknown	unknown
0x008cfbe0	ip	blx ip	unknown	unknown	unknown
0x008cfbf4	r2	blx r2	unknown	unknown	unknown
0x008cfc50	lr	blx lr	unknown	unknown	unknown
0x008cfc6c	r3	blx r3	unknown	unknown	unknown
0x008cfcdc	ip	blx ip	unknown	unknown	unknown
0x008cfd38	r2	blx r2	unknown	unknown	unknown
0x008cfd8c	ip	blx ip	unknown	unknown	unknown
0x008cfe40	r2	blx r2	unknown	unknown	unknown
0x008cfe5c	r3	blx r3	unknown	unknown	unknown
0x008cfe8c	lr	blx lr	unknown	unknown	unknown
0x008cfeb0	r3	blx r3	unknown	unknown	unknown
0x008cff28	r2	blx r2	unknown	unknown	unknown
0x008cff70	lr	blx lr	unknown	unknown	unknown
0x008d001c	r2	blx r2	unknown	unknown	unknown
0x008d0080	ip	blx ip	unknown	unknown	unknown
