implementation	class	kind	selector	types
0x001e0808	AVAudioPlayer	instance	initWithContentsOfURL:error:	@16@0:4@8^@12
0x001e0d64	AVAudioPlayer	instance	initWithData:error:	@16@0:4@8^@12
0x001e1108	AVAudioPlayer	instance	dealloc	v8@0:4
0x001e1294	AVAudioPlayer	instance	_abstract_complete:	v12@0:4i8
0x001e1458	AVAudioPlayer	instance	prepareToPlay	c8@0:4
0x001e1518	AVAudioPlayer	instance	play	c8@0:4
0x001e166c	AVAudioPlayer	instance	playAtTime:	c16@0:4d8
0x001e1754	AVAudioPlayer	instance	pause	v8@0:4
0x001e1894	AVAudioPlayer	instance	stop	v8@0:4
0x001e19d4	AVAudioPlayer	instance	duration	d8@0:4
0x001e1a34	AVAudioPlayer	instance	updateMeters	v8@0:4
0x001e1a48	AVAudioPlayer	instance	peakPowerForChannel:	f12@0:4I8
0x001e1a74	AVAudioPlayer	instance	averagePowerForChannel:	f12@0:4I8
0x001e1aa0	AVAudioPlayer	instance	_updateVolume	v8@0:4
0x001e1c80	AVAudioPlayer	instance	setPan:	v12@0:4f8
0x001e1e04	AVAudioPlayer	instance	pan	f8@0:4
0x001e1e40	AVAudioPlayer	instance	setVolume:	v12@0:4f8
0x001e1fbc	AVAudioPlayer	instance	volume	f8@0:4
0x001e1ff8	AVAudioPlayer	instance	setEnableRate:	v12@0:4c8
0x001e20e8	AVAudioPlayer	instance	enableRate	c8@0:4
0x001e2124	AVAudioPlayer	instance	setRate:	v12@0:4f8
0x001e2140	AVAudioPlayer	instance	rate	f8@0:4
0x001e217c	AVAudioPlayer	instance	setCurrentTime:	v16@0:4d8
0x001e2264	AVAudioPlayer	instance	currentTime	d8@0:4
0x001e2358	AVAudioPlayer	instance	deviceCurrentTime	d8@0:4
0x001e2428	AVAudioPlayer	instance	setNumberOfLoops:	v12@0:4i8
0x001e2590	AVAudioPlayer	instance	numberOfLoops	i8@0:4
0x001e25cc	AVAudioPlayer	instance	isPlaying	c8@0:4
0x001e2608	AVAudioPlayer	instance	numberOfChannels	I8@0:4
0x001e2640	AVAudioPlayer	instance	delegate	@8@0:4
0x001e2680	AVAudioPlayer	instance	setDelegate:	v12@0:4@8
0x001e26c0	AVAudioPlayer	instance	url	@8@0:4
0x001e2700	AVAudioPlayer	instance	data	@8@0:4
0x001e2740	AVAudioPlayer	instance	settings	@8@0:4
0x001e2780	AVAudioPlayer	instance	isMeteringEnabled	c8@0:4
0x001e27bc	AVAudioPlayer	instance	setMeteringEnabled:	v12@0:4c8
0x001e27fc	AVAudioPlayer	instance	channelAssignments	@8@0:4
0x001e2830	AVAudioPlayer	instance	setChannelAssignments:	v12@0:4@8
0x001e287c	AudioServicesSystemSoundPlayer	instance	initWithContentsOfURL:error:	@16@0:4@8^@12
0x001e29cc	AudioServicesSystemSoundPlayer	instance	audioPlayerDidFinishPlaying:successfully:	v16@0:4@8c12
0x001e2bb4	AudioServicesSystemSoundPlayer	instance	setCallback:withClientData:withRunLoop:withRunLoopMode:	v24@0:4^?8^v12^{__CFRunLoop=}16^{__CFString=}20
0x001e2ca0	AVAudioSession	class	sharedInstance	@8@0:4
0x001e2db0	AVAudioSession	instance	init	@8@0:4
0x001e3024	AVAudioSession	instance	retainCount	I8@0:4
0x001e3040	AVAudioSession	instance	release	Vv8@0:4
0x001e3054	AVAudioSession	instance	retain	@8@0:4
0x001e306c	AVAudioSession	instance	dealloc	v8@0:4
0x001e3080	AVAudioSession	instance	setActive:error:	c16@0:4c8^@12
0x001e3140	AVAudioSession	instance	setMode:error:	c16@0:4@8^@12
0x001e3180	AVAudioSession	instance	setCategory:error:	c16@0:4@8^@12
0x001e31f8	AVAudioSession	instance	setCategory:withOptions:error:	c20@0:4@8I12^@16
0x001e3588	AVAudioSession	instance	setPreferredHardwareSampleRate:error:	c20@0:4d8^@16
0x001e3604	AVAudioSession	instance	setPreferredSampleRate:error:	c20@0:4d8^@16
0x001e3680	AVAudioSession	instance	setActive:withFlags:error:	c20@0:4c8i12^@16
0x001e373c	AVAudioSession	instance	setPreferredIOBufferDuration:error:	c20@0:4d8^@16
0x001e3784	AVAudioSession	instance	inputIsAvailable	c8@0:4
0x001e37d4	AVAudioSession	instance	isInputAvailable	c8@0:4
0x001e3834	AVAudioSession	instance	isOtherAudioPlaying	c8@0:4
0x001e3894	AVAudioSession	instance	_beginInterruption	v8@0:4
0x001e38f8	AVAudioSession	instance	_endInterruption	v8@0:4
0x001e395c	AVAudioSession	instance	_endInterruptionWithFlags:	v12@0:4I8
0x001e39c8	AVAudioSession	instance	_inputIsAvailableChanged:	v12@0:4c8
0x001e3a44	AVAudioSession	instance	mode	@8@0:4
0x001e3a80	AVAudioSession	instance	category	@8@0:4
0x001e3abc	AVAudioSession	instance	delegate	@8@0:4
0x001e3af8	AVAudioSession	instance	setDelegate:	v12@0:4@8
0x001e3b3c	AVAudioSession	instance	preferredHardwareSampleRate	d8@0:4
0x001e3b78	AVAudioSession	instance	preferredIOBufferDuration	d8@0:4
0x001e3bb4	AVAudioSession	instance	currentHardwareSampleRate	d8@0:4
0x001e3bf0	AVAudioSession	instance	currentHardwareInputNumberOfChannels	i8@0:4
0x001e3c2c	AVAudioSession	instance	currentHardwareOutputNumberOfChannels	i8@0:4
0x001e3c68	AVAudioSession	instance	sampleRate	d8@0:4
0x001e3cc8	AVAudioSession	instance	inputNumberOfChannels	i8@0:4
0x001e3d00	AVAudioSession	instance	outputNumberOfChannels	i8@0:4
0x001e3d38	AVAudioSession	instance	IOBufferDuration	d8@0:4
0x001e3d98	AVAudioSession	instance	categoryOptions	I8@0:4
0x001e3dd0	AVAudioSession	instance	currentRoute	@8@0:4
0x001e3e10	AVAudioSession	instance	inputDataSource	@8@0:4
0x001e3e50	AVAudioRecorder	instance	isRecording	c8@0:4
0x001e3e8c	AVAudioRecorder	instance	url	@8@0:4
0x001e3ec8	AVAudioRecorder	instance	settings	@8@0:4
0x001e3f04	AVAudioRecorder	instance	delegate	@8@0:4
0x001e3f40	AVAudioRecorder	instance	setDelegate:	v12@0:4@8
0x001e3f84	AVAudioRecorder	instance	currentTime	d8@0:4
0x001e3fc0	AVAudioRecorder	instance	isMeteringEnabled	c8@0:4
0x001e3ffc	AVAudioRecorder	instance	setMeteringEnabled:	v12@0:4c8
0x001e4100	AVPlayer	class	playerWithURL:	@12@0:4@8
0x001e4120	AVPlayer	class	playerWithPlayerItem:	@12@0:4@8
0x001e4140	AVPlayer	instance	initWithURL:	@12@0:4@8
0x001e419c	AVPlayer	instance	initWithPlayerItem:	@12@0:4@8
0x001e41f8	AVPlayer	instance	play	v8@0:4
0x001e420c	AVPlayer	instance	pause	v8@0:4
0x001e4220	AVPlayer	instance	replaceCurrentItemWithPlayerItem:	v12@0:4@8
0x001e4238	AVPlayer	instance	currentTime	{?=qiIq}8@0:4
0x001e427c	AVPlayer	instance	seekToDate:	v12@0:4@8
0x001e4294	AVPlayer	instance	seekToDate:completionHandler:	v16@0:4@8@?12
0x001e42b0	AVPlayer	instance	seekToTime:	v32@0:4{?=qiIq}8
0x001e42f0	AVPlayer	instance	seekToTime:toleranceBefore:toleranceAfter:	v80@0:4{?=qiIq}8{?=qiIq}32{?=qiIq}56
0x001e43d0	AVPlayer	instance	seekToTime:completionHandler:	v36@0:4{?=qiIq}8@?32
0x001e4418	AVPlayer	instance	seekToTime:toleranceBefore:toleranceAfter:completionHandler:	v84@0:4{?=qiIq}8{?=qiIq}32{?=qiIq}56@?80
0x001e4508	AVPlayer	instance	addPeriodicTimeObserverForInterval:queue:usingBlock:	@40@0:4{?=qiIq}8@32@?36
0x001e4560	AVPlayer	instance	addBoundaryTimeObserverForTimes:queue:usingBlock:	@20@0:4@8@12@?16
0x001e4590	AVPlayer	instance	removeTimeObserver:	v12@0:4@8
0x001e45a8	AVPlayer	instance	status	i8@0:4
0x001e45e4	AVPlayer	instance	error	@8@0:4
0x001e4620	AVPlayer	instance	rate	f8@0:4
0x001e465c	AVPlayer	instance	setRate:	v12@0:4f8
0x001e46a4	AVPlayer	instance	currentItem	@8@0:4
0x001e46e0	AVPlayer	instance	actionAtItemEnd	i8@0:4
0x001e471c	AVPlayer	instance	setActionAtItemEnd:	v12@0:4i8
0x001e4760	AVQueuePlayer	class	queuePlayerWithItems:	@12@0:4@8
0x001e4780	AVQueuePlayer	instance	initWithItems:	@12@0:4@8
0x001e47dc	AVQueuePlayer	instance	items	@8@0:4
0x001e47f8	AVQueuePlayer	instance	advanceToNextItem	v8@0:4
0x001e480c	AVQueuePlayer	instance	canInsertItem:afterItem:	c16@0:4@8@12
0x001e4830	AVQueuePlayer	instance	insertItem:afterItem:	v16@0:4@8@12
0x001e484c	AVQueuePlayer	instance	removeItem:	v12@0:4@8
0x001e4864	AVQueuePlayer	instance	removeAllItems	v8@0:4
0x001e48a8	AVAsset	class	assetWithURL:	@12@0:4@8
0x001e4930	AVAsset	instance	initWithURL:	@12@0:4@8
0x001e4a14	AVAsset	instance	dealloc	v8@0:4
0x001e4ad8	AVAsset	instance	duration	{?=qiIq}8@0:4
0x001e4b24	AVAsset	instance	preferredRate	f8@0:4
0x001e4b60	AVAsset	instance	preferredVolume	f8@0:4
0x001e4b9c	AVAsset	instance	preferredTransform	{CGAffineTransform=ffffff}8@0:4
0x001e4be8	AVAsset	instance	naturalSize	{CGSize=ff}8@0:4
0x001e4c30	AVURLAsset	class	URLAssetWithURL:options:	@16@0:4@8@12
0x001e4cc0	AVURLAsset	instance	initWithURL:options:	@16@0:4@8@12
0x001e4da8	AVURLAsset	instance	dealloc	v8@0:4
0x001e4e6c	AVURLAsset	instance	URL	@8@0:4
0x001e4ed0	AVAssetReader	instance	initWithAsset:error:	@16@0:4@8^@12
0x001e5090	AVAssetReader	instance	dealloc	v8@0:4
0x001e5154	AVAssetReader	instance	status	i8@0:4
0x001e518c	AVAssetReader	instance	asset	@8@0:4
0x001e51c8	AVAssetReader	instance	error	@8@0:4
0x001e5208	AVAssetReader	instance	timeRange	{?={?=qiIq}{?=qiIq}}8@0:4
0x001e5254	AVAssetReader	instance	setTimeRange:	v56@0:4{?={?=qiIq}{?=qiIq}}8
0x001e5330	AVAssetReader	instance	outputs	@8@0:4
0x001e6fb0	ASIdentifierManager	class	sharedManager	@8@0:4
0x001e70c0	ASIdentifierManager	instance	init	@8@0:4
0x001e75ac	ASIdentifierManager	instance	advertisingIdentifier	@8@0:4
0x001e75e8	ASIdentifierManager	instance	isAdvertisingTrackingEnabled	c8@0:4
0x001e7654	CIColor	class	colorWithCGColor:	@12@0:4^{__CGColor=}8
0x001e76f4	CIColor	class	colorWithRed:green:blue:alpha:	@24@0:4f8f12f16f20
0x001e7804	CIColor	class	colorWithRed:green:blue:	@20@0:4f8f12f16
0x001e7918	CIColor	class	colorWithString:	@12@0:4@8
0x001e7938	CIColor	instance	initWithCGColor:	@12@0:4^{__CGColor=}8
0x001e79f4	CIColor	instance	dealloc	v8@0:4
0x001e7a90	CIColor	instance	numberOfComponents	L8@0:4
0x001e7b3c	CIColor	instance	components	r^f8@0:4
0x001e7bec	CIColor	instance	alpha	f8@0:4
0x001e7c34	CIColor	instance	colorSpace	^{__CGColorSpace=}8@0:4
0x001e7c9c	CIColor	instance	_componentAtIndex:	f12@0:4I8
0x001e7d94	CIColor	instance	red	f8@0:4
0x001e7ddc	CIColor	instance	green	f8@0:4
0x001e7e24	CIColor	instance	blue	f8@0:4
0x001e7e6c	CIColor	instance	stringRepresentation	@8@0:4
0x001e801c	CLGeocoder	instance	isGeocoding	c8@0:4
0x001e8094	CLGeocoder	instance	reverseGeocodeLocation:completionHandler:	v16@0:4@8@?12
0x001e8104	CLGeocoder	instance	geocodeAddressDictionary:completionHandler:	v16@0:4@8@?12
0x001e8174	CLGeocoder	instance	geocodeAddressString:completionHandler:	v16@0:4@8@?12
0x001e81e4	CLGeocoder	instance	geocodeAddressString:inRegion:completionHandler:	v20@0:4@8@12@?16
0x001e825c	CLGeocoder	instance	cancelGeocode	v8@0:4
0x001e82f8	CLHeading	instance	initWithCoder:	@12@0:4@8
0x001e8368	CLHeading	instance	encodeWithCoder:	v12@0:4@8
0x001e83d0	CLHeading	instance	description	@8@0:4
0x001e8458	CLHeading	instance	magneticHeading	d8@0:4
0x001e8494	CLHeading	instance	trueHeading	d8@0:4
0x001e84d0	CLHeading	instance	headingAccuracy	d8@0:4
0x001e850c	CLHeading	instance	x	d8@0:4
0x001e8548	CLHeading	instance	y	d8@0:4
0x001e8584	CLHeading	instance	z	d8@0:4
0x001e85c0	CLHeading	instance	timestamp	@8@0:4
0x001e8704	CLLocation	instance	initWithCoder:	@12@0:4@8
0x001e8774	CLLocation	instance	encodeWithCoder:	v12@0:4@8
0x001e87dc	CLLocation	instance	initWithLatitude:longitude:	@24@0:4d8d16
0x001e88c8	CLLocation	instance	initWithCoordinate:altitude:horizontalAccuracy:verticalAccuracy:timestamp:	@52@0:4{?=dd}8d24d32d40@48
0x001e8990	CLLocation	instance	initWithCoordinate:altitude:horizontalAccuracy:verticalAccuracy:course:speed:timestamp:	@68@0:4{?=dd}8d24d32d40d48d56@64
0x001e8b90	CLLocation	instance	dealloc	v8@0:4
0x001e8c54	CLLocation	instance	description	@8@0:4
0x001e8e90	CLLocation	instance	getDistanceFrom:	d12@0:4@8
0x001e8ed8	CLLocation	instance	distanceFromLocation:	d12@0:4@8
0x001e9874	CLLocation	instance	coordinate	{?=dd}8@0:4
0x001e98cc	CLLocation	instance	altitude	d8@0:4
0x001e9908	CLLocation	instance	horizontalAccuracy	d8@0:4
0x001e9944	CLLocation	instance	verticalAccuracy	d8@0:4
0x001e9980	CLLocation	instance	course	d8@0:4
0x001e99bc	CLLocation	instance	speed	d8@0:4
0x001e99f8	CLLocation	instance	timestamp	@8@0:4
0x001e9a64	CLPlacemark	instance	dealloc	v8@0:4
0x001e9b28	CLPlacemark	instance	initWithCoder:	@12@0:4@8
0x001e9b98	CLPlacemark	instance	encodeWithCoder:	v12@0:4@8
0x001e9c00	CLPlacemark	instance	initWithPlacemark:	@12@0:4@8
0x001e9c70	CLPlacemark	instance	initWithDictionary:	@12@0:4@8
0x001e9d94	CLPlacemark	instance	location	@8@0:4
0x001e9dd0	CLPlacemark	instance	region	@8@0:4
0x001e9e0c	CLPlacemark	instance	addressDictionary	@8@0:4
0x001e9e48	CLPlacemark	instance	name	@8@0:4
0x001e9e84	CLPlacemark	instance	thoroughfare	@8@0:4
0x001e9ec0	CLPlacemark	instance	subThoroughfare	@8@0:4
0x001e9efc	CLPlacemark	instance	locality	@8@0:4
0x001e9f38	CLPlacemark	instance	subLocality	@8@0:4
0x001e9f74	CLPlacemark	instance	administrativeArea	@8@0:4
0x001e9fb0	CLPlacemark	instance	subAdministrativeArea	@8@0:4
0x001e9fec	CLPlacemark	instance	postalCode	@8@0:4
0x001ea028	CLPlacemark	instance	ISOcountryCode	@8@0:4
0x001ea064	CLPlacemark	instance	country	@8@0:4
0x001ea0a0	CLPlacemark	instance	inlandWater	@8@0:4
0x001ea0dc	CLPlacemark	instance	ocean	@8@0:4
0x001ea118	CLPlacemark	instance	areasOfInterest	@8@0:4
0x001ea184	CLRegion	instance	initWithCoder:	@12@0:4@8
0x001ea1f4	CLRegion	instance	encodeWithCoder:	v12@0:4@8
0x001ea25c	CLRegion	instance	initCircularRegionWithCenter:radius:identifier:	@36@0:4{?=dd}8d24@32
0x001ea2f4	CLRegion	instance	containsCoordinate:	c24@0:4{?=dd}8
0x001ea380	CLRegion	instance	center	{?=dd}8@0:4
0x001ea3d8	CLRegion	instance	radius	d8@0:4
0x001ea414	CLRegion	instance	identifier	@8@0:4
0x001ea480	CLLocationManager	instance	init	@8@0:4
0x001ea56c	CLLocationManager	instance	dealloc	v8@0:4
0x001ea704	CLLocationManager	class	locationServicesEnabled	c8@0:4
0x001ea7c8	CLLocationManager	class	significantLocationChangeMonitoringAvailable	c8@0:4
0x001ea820	CLLocationManager	class	authorizationStatus	i8@0:4
0x001ea83c	CLLocationManager	instance	locationServicesEnabled	c8@0:4
0x001ea898	CLLocationManager	instance	location	@8@0:4
0x001ea8e4	CLLocationManager	instance	startUpdatingLocation	v8@0:4
0x001ea938	CLLocationManager	instance	stopUpdatingLocation	v8@0:4
0x001ea98c	CLLocationManager	instance	startMonitoringSignificantLocationChanges	v8@0:4
0x001ea9e0	CLLocationManager	instance	stopMonitoringSignificantLocationChanges	v8@0:4
0x001eaa34	CLLocationManager	instance	locationDidChange:	v12@0:4@8
0x001eb02c	CLLocationManager	instance	providerDidDisable:	v12@0:4@8
0x001eb044	CLLocationManager	instance	providerDidEnable:	v12@0:4@8
0x001eb05c	CLLocationManager	instance	provider:didChangeStatus:	v16@0:4@8i12
0x001eb078	CLLocationManager	class	regionMonitoringAvailable	c8@0:4
0x001eb094	CLLocationManager	class	regionMonitoringEnabled	c8@0:4
0x001eb0b0	CLLocationManager	instance	maximumRegionMonitoringDistance	d8@0:4
0x001eb0dc	CLLocationManager	instance	monitoredRegions	@8@0:4
0x001eb0f8	CLLocationManager	instance	startMonitoringForRegion:desiredAccuracy:	v20@0:4@8d12
0x001eb118	CLLocationManager	instance	stopMonitoringForRegion:	v12@0:4@8
0x001eb130	CLLocationManager	instance	startMonitoringForRegion:	v12@0:4@8
0x001eb148	CLLocationManager	class	headingAvailable	c8@0:4
0x001eb164	CLLocationManager	instance	headingAvailable	c8@0:4
0x001eb1c0	CLLocationManager	instance	heading	@8@0:4
0x001eb1dc	CLLocationManager	instance	startUpdatingHeading	v8@0:4
0x001eb1f0	CLLocationManager	instance	stopUpdatingHeading	v8@0:4
0x001eb204	CLLocationManager	instance	dismissHeadingCalibrationDisplay	v8@0:4
0x001eb218	CLLocationManager	class	_nameForProvider:	@12@0:4i8
0x001eb2dc	CLLocationManager	class	_isProviderEnabled:	c12@0:4i8
0x001eb404	CLLocationManager	instance	_listenerForProvider:	@12@0:4i8
0x001eb5c8	CLLocationManager	instance	_startListeningProvider:	v12@0:4i8
0x001eb8f8	CLLocationManager	instance	_stopListeningProvider:	v12@0:4i8
0x001ebaa0	CLLocationManager	instance	delegate	@8@0:4
0x001ebadc	CLLocationManager	instance	setDelegate:	v12@0:4@8
0x001ebb20	CLLocationManager	instance	distanceFilter	d8@0:4
0x001ebb5c	CLLocationManager	instance	setDistanceFilter:	v16@0:4d8
0x001ebba4	CLLocationManager	instance	desiredAccuracy	d8@0:4
0x001ebbe0	CLLocationManager	instance	setDesiredAccuracy:	v16@0:4d8
0x001ebc28	CLLocationManager	instance	purpose	@8@0:4
0x001ebc5c	CLLocationManager	instance	setPurpose:	v12@0:4@8
0x001ebca8	CLLocationManager	instance	_lastLocation	@8@0:4
