item_type	image_dataA0	col_dataA0	row_dataA0	image_dataA1	col_dataA1	row_dataA1	case_target
58	109	13	3	109	13	3	0x004d760c
168	304	16	9	305	17	9	0x004d7594
174	118	22	3	118	22	3	0x004d7600
1024	33	1	1	33	1	1	0x004d73c0
1025	32	0	1	32	0	1	0x004d769c
1026	34	2	1	34	2	1	0x004d73cc
1027	66	2	2	66	2	2	0x004d73e4
1028	35	3	1	35	3	1	0x004d73f0
1029	67	3	2	67	3	2	0x004d7414
1030	76	12	2	76	12	2	0x004d7420
1031	32	0	1	32	0	1	0x004d769c
1032	32	0	1	32	0	1	0x004d769c
1033	32	0	1	32	0	1	0x004d769c
1034	32	0	1	32	0	1	0x004d769c
1035	79	15	2	79	15	2	0x004d75b8
1036	80	16	2	80	16	2	0x004d75c4
1037	81	17	2	81	17	2	0x004d75d0
1038	82	18	2	82	18	2	0x004d75dc
1039	32	0	1	32	0	1	0x004d769c
1040	32	0	1	32	0	1	0x004d769c
1041	32	0	1	32	0	1	0x004d769c
1042	108	12	3	108	12	3	0x004d75e8
1043	342	22	10	343	23	10	0x004d74e0
1044	32	0	1	32	0	1	0x004d769c
1045	85	21	2	85	21	2	0x004d742c
1046	32	0	1	32	0	1	0x004d769c
1047	32	0	1	32	0	1	0x004d73b4
1048	64	0	2	64	0	2	0x004d7498
1049	196	4	6	196	4	6	0x004d74c8
1050	32	0	1	32	0	1	0x004d769c
1051	65	1	2	65	1	2	0x004d74b0
1052	32	0	1	32	0	1	0x004d769c
1053	86	22	2	86	22	2	0x004d7624
1054	87	23	2	87	23	2	0x004d763c
1055	32	0	1	32	0	1	0x004d769c
1056	32	0	1	32	0	1	0x004d769c
1057	164	4	5	164	4	5	0x004d74d4
1058	32	0	1	32	0	1	0x004d769c
1059	32	0	1	32	0	1	0x004d769c
1060	110	14	3	110	14	3	0x004d7618
1061	32	0	1	32	0	1	0x004d769c
1062	97	1	3	97	1	3	0x004d74a4
1063	88	24	2	88	24	2	0x004d7630
1064	88	24	2	88	24	2	0x004d7630
1065	298	10	9	299	11	9	0x004d7570
1066	112	16	3	112	16	3	0x004d745c
1067	113	17	3	113	17	3	0x004d7468
1068	114	18	3	114	18	3	0x004d7474
1069	115	19	3	115	19	3	0x004d7480
1070	116	20	3	116	20	3	0x004d748c
1071	32	0	1	32	0	1	0x004d769c
1072	302	14	9	303	15	9	0x004d7504
1073	32	0	1	32	0	1	0x004d769c
1074	311	23	9	312	24	9	0x004d754c
1075	89	25	2	89	25	2	0x004d74bc
1076	117	21	3	117	21	3	0x004d75f4
1077	32	0	1	32	0	1	0x004d769c
1078	32	0	1	32	0	1	0x004d769c
1079	32	0	1	32	0	1	0x004d769c
1080	32	0	1	32	0	1	0x004d769c
1081	32	0	1	32	0	1	0x004d769c
1082	32	0	1	32	0	1	0x004d769c
1083	32	0	1	32	0	1	0x004d769c
1084	32	0	1	32	0	1	0x004d769c
1085	32	0	1	32	0	1	0x004d769c
1086	32	0	1	32	0	1	0x004d769c
1087	583	7	18	583	7	18	0x004d7654
1088	584	8	18	584	8	18	0x004d7648
1089	672	0	21	672	0	21	0x004d7438
1090	188	28	5	188	28	5	0x004d7444
1091	190	30	5	190	30	5	0x004d7450
1092	32	0	1	32	0	1	0x004d769c
1093	32	0	1	32	0	1	0x004d769c
1094	478	30	14	478	30	14	0x004d73d8
1095	32	0	1	32	0	1	0x004d769c
1096	32	0	1	32	0	1	0x004d769c
1097	32	0	1	32	0	1	0x004d769c
1098	697	25	21	697	25	21	0x004d7660
1099	698	26	21	698	26	21	0x004d766c
1100	699	27	21	699	27	21	0x004d7678
1101	700	28	21	700	28	21	0x004d7684
1102	701	29	21	701	29	21	0x004d7690
1103	741	5	23	741	5	23	0x004d73fc
1104	742	6	23	743	7	23	0x004d7528
1105	746	10	23	746	10	23	0x004d7408
