tile_type	resolution	primary_image	primary_col	primary_row	secondary_image	secondary_col	secondary_row	case_target
1	conditional							0x00a21d4c
2	default							0x00a21024
3	default							0x00a22030
4	direct	110	14	3				0x00a212d8
5	direct	129	1	4				0x00a21fe4
6	conditional	288	0	9				0x00a21064
7	direct	65	1	2				0x00a21ef4
8	direct	65	1	2				0x00a21ef4
9	direct	196	4	6				0x00a22084
10	direct	33	1	1				0x00a21028
11	direct	34	2	1				0x00a21c30
12	conditional							0x00a21a68
13	direct	35	3	1				0x00a21ad8
14	direct	67	3	2				0x00a21ba4
15	direct	76	12	2				0x00a21be8
16	direct	77	13	2				0x00a21ff4
17	direct	79	15	2				0x00a21f6c
18	direct	80	16	2				0x00a21fa8
19	direct	81	17	2				0x00a21cbc
20	direct	82	18	2				0x00a21d00
21	default							0x00a22138
22	default							0x00a22138
23	default							0x00a22138
24	direct	108	12	3				0x00a21298
25	direct	132	4	4				0x00a215b8
26	direct	85	21	2				0x00a212f8
27	conditional	289	1	9				0x00a210e4
28	conditional	292	4	9				0x00a21160
29	direct	86	22	2				0x00a219f0
30	direct	87	23	2				0x00a21a2c
31	default							0x00a22058
32	direct	164	4	5				0x00a220c0
33	direct	165	5	5				0x00a215f4
34	direct	166	6	5				0x00a21630
35	direct	167	7	5				0x00a2166c
36	direct	168	8	5				0x00a216a8
37	direct	169	9	5				0x00a216e4
38	direct	552	8	17				0x00a21e94
39	direct	553	9	17				0x00a21eac
40	direct	554	10	17				0x00a21ec4
41	direct	554	10	17				0x00a21edc
42	direct	170	10	5				0x00a21720
43	direct	171	11	5				0x00a2175c
44	direct	172	12	5				0x00a21798
45	direct	173	13	5				0x00a217d4
46	direct	174	14	5				0x00a21810
47	direct	175	15	5				0x00a2184c
48	direct	97	1	3				0x00a211dc
49	direct	98	2	3				0x00a21218
50	direct	130	2	4				0x00a21258
51	direct	88	24	2				0x00a220fc
52	direct	88	24	2				0x00a220fc
53	direct	112	16	3				0x00a2148c
54	direct	113	17	3				0x00a214c8
55	direct	114	18	3				0x00a21504
56	direct	115	19	3				0x00a21540
57	direct	116	20	3				0x00a2157c
58	direct	89	25	2				0x00a21f30
59	direct	117	21	3				0x00a212b8
60	direct	170	10	5				0x00a21888
61	direct	171	11	5				0x00a218c4
62	direct	172	12	5				0x00a21900
63	direct	173	13	5				0x00a2193c
64	direct	174	14	5				0x00a21978
65	direct	175	15	5				0x00a219b4
66	default							0x00a22138
67	default							0x00a213cc
68	direct	190	30	5				0x00a21414
69	direct	188	28	5				0x00a21450
70	direct	478	30	14				0x00a21c74
71	direct	697	25	21				0x00a21318
72	direct	698	26	21				0x00a2133c
73	direct	699	27	21				0x00a21360
74	direct	700	28	21				0x00a21384
75	direct	701	29	21				0x00a213a8
76	direct	741	5	23				0x00a21b14
77	direct	746	10	23				0x00a21b58
