content_value	candidate_name	draw_image	draw_col	draw_row	paired_image	paired_col	paired_row	resolution	case_target
3	AppleTreeLeaf	256	0	8	256	0	8	direct	0x00a22428
4	AppleTreeTrunk	264	8	8	193	1	6	direct	0x00a22474
5	AppleTreeTrunkLeaf	224	0	7	224	0	7	direct	0x00a22440
6	PineTreeLeaf	237	13	7	237	13	7	direct	0x00a224ac
7	PineTreeTrunk	192	0	6	193	1	6	direct	0x00a224f8
8	PineTreeTrunkLeaf	236	12	7	236	12	7	direct	0x00a224c4
9	MapleTreeLeaf	512	0	16	512	0	16	direct	0x00a225b4
10	MapleTreeTrunk	488	8	15	193	1	6	direct	0x00a22600
11	MapleTreeTrunkLeaf	480	0	15	480	0	15	direct	0x00a225cc
12	MangoTreeLeaf	233	9	7	233	9	7	direct	0x00a22530
13	MangoTreeTrunk	192	0	6	193	1	6	direct	0x00a2257c
14	MangoTreeTrunkLeaf	232	8	7	232	8	7	direct	0x00a22548
15	CoconutTreeLeaf	489	9	15	489	9	15	direct	0x00a227a8
16	CoconutTreeTrunk	490	10	15	490	10	15	direct	0x00a227c0
18	OrangeTreeLeaf	493	13	15	493	13	15	direct	0x00a22638
19	OrangeTreeTrunk	495	15	15	193	1	6	direct	0x00a22684
20	OrangeTreeTrunkLeaf	494	14	15	494	14	15	direct	0x00a22650
21	CherryTreeLeaf	265	9	8	265	9	8	direct	0x00a227f4
22	CherryTreeTrunk	273	17	8	193	1	6	direct	0x00a22840
23	CherryTreeTrunkLeaf	274	18	8	274	18	8	direct	0x00a2280c
24	CoffeeTreeLeaf	283	27	8	283	27	8	direct	0x00a22878
25	CoffeeTreeTrunk	282	26	8	193	1	6	direct	0x00a228c4
26	CoffeeTreeTrunkLeaf	284	28	8	284	28	8	direct	0x00a22890
27		449	1	14	449	1	14	direct	0x00a223d8
28		194	2	6	195	3	6	direct	0x00a223f0
29	DeadPineTreeTrunk	194	2	6	195	3	6	direct	0x00a223f0
30		449	1	14	449	1	14	direct	0x00a223d8
31		194	2	6	195	3	6	direct	0x00a223f0
32		449	1	14	449	1	14	direct	0x00a223d8
33		194	2	6	195	3	6	direct	0x00a223f0
34	DeadPineTreeLeaf	449	1	14	449	1	14	direct	0x00a223d8
35		449	1	14	449	1	14	direct	0x00a223d8
36		194	2	6	195	3	6	direct	0x00a223f0
37	DeadOrangeTreeLeaf	449	1	14	449	1	14	direct	0x00a223d8
38	DeadOrangeTreeTrunk	194	2	6	195	3	6	direct	0x00a223f0
39	DeadCherryTreeLeaf	449	1	14	449	1	14	direct	0x00a223d8
40	DeadCherryTreeTrunk	194	2	6	195	3	6	direct	0x00a223f0
41		449	1	14	449	1	14	direct	0x00a223d8
42		194	2	6	195	3	6	direct	0x00a223f0
43	Cactus	234	10	7	234	10	7	direct	0x00a22740
44	DeadCactus	235	11	7	235	11	7	direct	0x00a22774
89	LimeTreeLeaf	520	8	16	520	8	16	direct	0x00a226bc
90	LimeTreeTrunk	522	10	16	193	1	6	direct	0x00a22708
91	LimeTreeTrunkLeaf	521	9	16	521	9	16	direct	0x00a226d4
92	DeadLimeTreeLeaf	449	1	14	449	1	14	direct	0x00a223d8
93	DeadLimeTreeTrunk	194	2	6	195	3	6	direct	0x00a223f0
109	AmethystTreeTrunk	220	28	6	193	1	6	direct	0x00a22948
110	AmethystTreeLeaf	570	26	17	570	26	17	direct	0x00a228fc
111	AmethystTreeTrunkLeaf	602	26	18	602	26	18	direct	0x00a22914
112	SapphireTreeTrunk	221	29	6	193	1	6	direct	0x00a229cc
113	SapphireTreeLeaf	571	27	17	571	27	17	direct	0x00a22980
114	SapphireTreeTrunkLeaf	603	27	18	603	27	18	direct	0x00a22998
115	EmeraldTreeTrunk	222	30	6	193	1	6	direct	0x00a22a50
116	EmeraldTreeLeaf	572	28	17	572	28	17	direct	0x00a22a04
117	EmeraldTreeTrunkLeaf	604	28	18	604	28	18	direct	0x00a22a1c
118	RubyTreeTrunk	253	29	7	193	1	6	direct	0x00a22ad4
119	RubyTreeLeaf	573	29	17	573	29	17	direct	0x00a22a88
120	RubyTreeTrunkLeaf	605	29	18	605	29	18	direct	0x00a22aa0
121	DiamondTreeTrunk	254	30	7	193	1	6	direct	0x00a22b58
122	DiamondTreeLeaf	574	30	17	574	30	17	direct	0x00a22b0c
123	DiamondTreeTrunkLeaf	606	30	18	606	30	18	direct	0x00a22b24
