tile_offset	tile_value	image_index	col	row	case_target
3	96	112	16	3	0x00a140b4
3	97	-1	-1	-1	0x00a140d4
3	98	-1	-1	-1	0x00a140d4
3	99	-1	-1	-1	0x00a140d4
3	100	-1	-1	-1	0x00a140c0
3	101	-1	-1	-1	0x00a140c4
3	102	-1	-1	-1	0x00a140d4
3	103	116	20	3	0x00a140c8
3	104	116	20	3	0x00a140c8
11	66	197	5	6	0x00a14048
11	67	239	15	7	0x00a13fa0
11	68	240	16	7	0x00a13fac
11	69	-1	-1	-1	0x00a14060
11	70	-1	-1	-1	0x00a14060
11	71	241	17	7	0x00a13fb8
11	72	242	18	7	0x00a13fc4
11	73	243	19	7	0x00a13fd0
11	74	244	20	7	0x00a13ff4
11	75	-1	-1	-1	0x00a14060
11	76	245	21	7	0x00a14018
11	77	-1	-1	-1	0x00a14060
11	78	-1	-1	-1	0x00a14060
11	79	247	23	7	0x00a14000
11	80	248	24	7	0x00a1400c
11	81	249	25	7	0x00a14030
11	96	112	16	3	0x00a14054
11	124	446	30	13	0x00a1403c
11	125	601	25	18	0x00a14024
11	147	760	24	23	0x00a13fdc
11	148	762	26	23	0x00a13fe8
