foreground_arg	tile_type	resolution	item_type	image_dataA0	col_dataA0	row_dataA0	case_target
0	1	conditional					0x00a18b04
0	2	conditional					0x00a187c0
0	3	conditional					0x00a187c0
0	4	direct	1060	110	14	3	0x00a18d7c
0	5	conditional					0x00a187c0
0	6	conditional					0x00a18a98
0	7	direct	1051	65	1	2	0x00a18aec
0	8	direct	1051	65	1	2	0x00a18aec
0	9	direct	1049	196	4	6	0x00a18d04
0	10	direct	1024	33	1	1	0x00a18bec
0	11	direct	1026	34	2	1	0x00a18bf8
0	12	conditional					0x00a18c10
0	13	conditional					0x00a18c10
0	14	direct	1030	76	12	2	0x00a18c50
0	15	direct	1030	76	12	2	0x00a18c50
0	16	direct	11				0x00a18d1c
0	17	direct	1036	80	16	2	0x00a18d28
0	18	direct	1036	80	16	2	0x00a18d28
0	19	direct	1038	82	18	2	0x00a18d34
0	20	direct	1038	82	18	2	0x00a18d34
0	21	direct	1039	32	0	1	0x00a18d40
0	22	direct	1040	32	0	1	0x00a18d4c
0	23	direct	1041	32	0	1	0x00a18d58
0	24	direct	1042	108	12	3	0x00a18d64
0	25	direct	0				0x00a18da0
0	26	direct	1045	85	21	2	0x00a18c5c
0	27	conditional					0x00a18a98
0	28	conditional					0x00a18a98
0	29	direct	1054	87	23	2	0x00a18d88
0	30	direct	1054	87	23	2	0x00a18d88
0	31	direct	0				0x00a18da0
0	32	direct	1057	164	4	5	0x00a18d10
0	33	direct	0				0x00a18da0
0	34	direct	0				0x00a18da0
0	35	direct	0				0x00a18da0
0	36	direct	0				0x00a18da0
0	37	direct	0				0x00a18da0
0	38	direct	0				0x00a18da0
0	39	direct	0				0x00a18da0
0	40	direct	0				0x00a18da0
0	41	direct	0				0x00a18da0
0	42	direct	0				0x00a18da0
0	43	direct	0				0x00a18da0
0	44	direct	0				0x00a18da0
0	45	direct	0				0x00a18da0
0	46	direct	0				0x00a18da0
0	47	direct	0				0x00a18da0
0	48	direct	1062	97	1	3	0x00a18ae0
0	49	direct	1062	97	1	3	0x00a18ae0
0	50	direct	1062	97	1	3	0x00a18ae0
0	51	direct	1063	88	24	2	0x00a18d94
0	52	direct	1063	88	24	2	0x00a18d94
0	53	direct	1066	112	16	3	0x00a18cc8
0	54	direct	1067	113	17	3	0x00a18cd4
0	55	direct	1068	114	18	3	0x00a18ce0
0	56	direct	1069	115	19	3	0x00a18cec
0	57	direct	1070	116	20	3	0x00a18cf8
0	58	direct	1075	89	25	2	0x00a18af8
0	59	direct	1076	117	21	3	0x00a18d70
0	60	direct	0				0x00a18da0
0	61	direct	0				0x00a18da0
0	62	direct	0				0x00a18da0
0	63	direct	0				0x00a18da0
0	64	direct	0				0x00a18da0
0	65	direct	0				0x00a18da0
0	66	direct	0				0x00a18da0
0	67	direct	1089	672	0	21	0x00a18ca4
0	68	direct	1091	190	30	5	0x00a18cb0
0	69	direct	1090	188	28	5	0x00a18cbc
0	70	direct	1094	478	30	14	0x00a18c04
0	71	direct	1098	697	25	21	0x00a18c68
0	72	direct	1099	698	26	21	0x00a18c74
0	73	direct	1100	699	27	21	0x00a18c80
0	74	direct	1101	700	28	21	0x00a18c8c
0	75	direct	1102	701	29	21	0x00a18c98
0	76	direct	1103	741	5	23	0x00a18c38
0	77	direct	1105	746	10	23	0x00a18c44
