implementation	class	method	reference_kind	reference_address	value
0x008cbf40	DynamicWorld	update:accurateDT:isSimulation:	selector	0x00e82ce0	countByEnumeratingWithState:objects:count:
0x008cbf40	DynamicWorld	update:accurateDT:isSimulation:	selector	0x00e82ce4	blockheadWillBeUnloaded:
0x008cbf40	DynamicWorld	update:accurateDT:isSimulation:	selector	0x00e82cf8	count
0x008cbf40	DynamicWorld	update:accurateDT:isSimulation:	selector	0x00e82d60	autorelease
0x008cbf40	DynamicWorld	update:accurateDT:isSimulation:	selector	0x00e82d7c	removeObject:
0x008cbf40	DynamicWorld	update:accurateDT:isSimulation:	selector	0x00e82d88	addObject:
0x008cbf40	DynamicWorld	update:accurateDT:isSimulation:	selector	0x00e82d8c	pos
0x008cbf40	DynamicWorld	update:accurateDT:isSimulation:	selector	0x00e82d94	sendNetDataIfNeededForObject:isCreation:
0x008cbf40	DynamicWorld	update:accurateDT:isSimulation:	selector	0x00e82dbc	instance
0x008cbf40	DynamicWorld	update:accurateDT:isSimulation:	selector	0x00e82de0	removeAllObjects
0x008cbf40	DynamicWorld	update:accurateDT:isSimulation:	selector	0x00e82de4	prepareInventoryForSaving
0x008cbf40	DynamicWorld	update:accurateDT:isSimulation:	selector	0x00e82de8	inventoryNeedsSaving
0x008cbf40	DynamicWorld	update:accurateDT:isSimulation:	selector	0x00e82dec	saveBlockheadInventory:
0x008cbf40	DynamicWorld	update:accurateDT:isSimulation:	selector	0x00e82df0	setInventoryNeedsSaving:
0x008cbf40	DynamicWorld	update:accurateDT:isSimulation:	selector	0x00e82df4	saveBlockheads
0x008cbf40	DynamicWorld	update:accurateDT:isSimulation:	selector	0x00e82e10	array
0x008cbf40	DynamicWorld	update:accurateDT:isSimulation:	selector	0x00e82e20	uniqueID
0x008cbf40	DynamicWorld	update:accurateDT:isSimulation:	selector	0x00e82e30	gzipDeflate
0x008cbf40	DynamicWorld	update:accurateDT:isSimulation:	selector	0x00e82e34	dataWithBytes:length:
0x008cbf40	DynamicWorld	update:accurateDT:isSimulation:	selector	0x00e82e38	appendData:
0x008cbf40	DynamicWorld	update:accurateDT:isSimulation:	selector	0x00e82e40	sendDataToServer:reliable:
0x008cbf40	DynamicWorld	update:accurateDT:isSimulation:	selector	0x00e82f54	removeFromMacroBlock
0x008cbf40	DynamicWorld	update:accurateDT:isSimulation:	selector	0x00e82fa0	needsRemoved
0x008cbf40	DynamicWorld	update:accurateDT:isSimulation:	selector	0x00e82fa4	allValues
0x008cbf40	DynamicWorld	update:accurateDT:isSimulation:	selector	0x00e82fdc	update:accurateDT:isSimulation:
0x008cbf40	DynamicWorld	update:accurateDT:isSimulation:	selector	0x00e82fe8	notifyPlayersChanged
0x008cbf40	DynamicWorld	update:accurateDT:isSimulation:	selector	0x00e82ff0	updateNetObjects
0x008cbf40	DynamicWorld	update:accurateDT:isSimulation:	selector	0x00e82ff4	updateTipForBlockhead:severityLevel:
0x008cbf40	DynamicWorld	update:accurateDT:isSimulation:	selector	0x00e82ff8	checkAndRestorePoleItems:
0x008cbf40	DynamicWorld	update:accurateDT:isSimulation:	selector	0x00e82ffc	uiManager
0x008cbf40	DynamicWorld	update:accurateDT:isSimulation:	selector	0x00e83000	blockheadWasRemoved
0x008cbf40	DynamicWorld	update:accurateDT:isSimulation:	selector	0x00e83004	loadAnyBlockheadsForDisconnectedClients
0x008cbf40	DynamicWorld	update:accurateDT:isSimulation:	selector	0x00e83008	rainFractionNotIncludingSnow
0x008cbf40	DynamicWorld	update:accurateDT:isSimulation:	selector	0x00e8300c	fastForward
0x008cbf40	DynamicWorld	update:accurateDT:isSimulation:	selector	0x00e83010	updateRain:dt:
0x008cbf40	DynamicWorld	update:accurateDT:isSimulation:	selector	0x00e83014	worldChanged:
0x008cbf40	DynamicWorld	update:accurateDT:isSimulation:	selector	0x00e83018	worldContentsChanged:
0x008cbf40	DynamicWorld	update:accurateDT:isSimulation:	selector	0x00e8301c	waterContentChanged:
0x008cbf40	DynamicWorld	update:accurateDT:isSimulation:	selector	0x00e83020	sendAllObjectData
