implementation	class	method	reference_kind	reference_address	value
0x008b254c	DynamicWorld	saveDynamicObjects	selector	0x00e82da4	macroTiles
0x008b254c	DynamicWorld	saveDynamicObjects	selector	0x00e82dac	saveDynamicObjectsForMacroTile:objectType:xPos:yPos:
0x008b29bc	DynamicWorld	saveGameWithWorldData:signOwnershipData:	cfstring	0x00f93818	dynamicWorldv2
0x008b29bc	DynamicWorld	saveGameWithWorldData:signOwnershipData:	cfstring	0x00f93838	dynamicObjectIDCount
0x008b29bc	DynamicWorld	saveGameWithWorldData:signOwnershipData:	cfstring	0x00f93848	activeBlockheadIndex
0x008b29bc	DynamicWorld	saveGameWithWorldData:signOwnershipData:	cfstring	0x00f93858	workbenchHasBeenCrafted
0x008b29bc	DynamicWorld	saveGameWithWorldData:signOwnershipData:	cfstring	0x00f93868	poleItemTakenTimes
0x008b29bc	DynamicWorld	saveGameWithWorldData:signOwnershipData:	cfstring	0x00f93878	saveVersion
0x008b29bc	DynamicWorld	saveGameWithWorldData:signOwnershipData:	cfstring	0x00f938b8	savedGlowIndices
0x008b29bc	DynamicWorld	saveGameWithWorldData:signOwnershipData:	cfstring	0x00f938c8	portalPositionIndexSet
0x008b29bc	DynamicWorld	saveGameWithWorldData:signOwnershipData:	cfstring	0x00f93948	worldv2
0x008b29bc	DynamicWorld	saveGameWithWorldData:signOwnershipData:	cfstring	0x00f93958	%@_worldv2
0x008b29bc	DynamicWorld	saveGameWithWorldData:signOwnershipData:	cfstring	0x00f93968	signOwnershipData
0x008b29bc	DynamicWorld	saveGameWithWorldData:signOwnershipData:	selector	0x00e82cbc	alloc
0x008b29bc	DynamicWorld	saveGameWithWorldData:signOwnershipData:	selector	0x00e82cc4	saveID
0x008b29bc	DynamicWorld	saveGameWithWorldData:signOwnershipData:	selector	0x00e82cc8	stringWithFormat:
0x008b29bc	DynamicWorld	saveGameWithWorldData:signOwnershipData:	selector	0x00e82ce0	countByEnumeratingWithState:objects:count:
0x008b29bc	DynamicWorld	saveGameWithWorldData:signOwnershipData:	selector	0x00e82cec	release
0x008b29bc	DynamicWorld	saveGameWithWorldData:signOwnershipData:	selector	0x00e82d0c	objectForKey:
0x008b29bc	DynamicWorld	saveGameWithWorldData:signOwnershipData:	selector	0x00e82d44	dictionary
0x008b29bc	DynamicWorld	saveGameWithWorldData:signOwnershipData:	selector	0x00e82d48	setObject:forKey:
0x008b29bc	DynamicWorld	saveGameWithWorldData:signOwnershipData:	selector	0x00e82da4	macroTiles
0x008b29bc	DynamicWorld	saveGameWithWorldData:signOwnershipData:	selector	0x00e82db0	numberWithUnsignedLong:
0x008b29bc	DynamicWorld	saveGameWithWorldData:signOwnershipData:	selector	0x00e82db4	numberWithInt:
0x008b29bc	DynamicWorld	saveGameWithWorldData:signOwnershipData:	selector	0x00e82db8	numberWithBool:
0x008b29bc	DynamicWorld	saveGameWithWorldData:signOwnershipData:	selector	0x00e82dbc	instance
0x008b29bc	DynamicWorld	saveGameWithWorldData:signOwnershipData:	selector	0x00e82dc0	commitSaveIfNeeded
0x008b29bc	DynamicWorld	saveGameWithWorldData:signOwnershipData:	selector	0x00e82dc4	saveIfNeeded
0x008b29bc	DynamicWorld	saveGameWithWorldData:signOwnershipData:	selector	0x00e82dc8	data
0x008b29bc	DynamicWorld	saveGameWithWorldData:signOwnershipData:	selector	0x00e82dcc	initForWritingWithMutableData:
0x008b29bc	DynamicWorld	saveGameWithWorldData:signOwnershipData:	selector	0x00e82dd0	encodeObject:forKey:
0x008b29bc	DynamicWorld	saveGameWithWorldData:signOwnershipData:	selector	0x00e82dd4	finishEncoding
0x008b29bc	DynamicWorld	saveGameWithWorldData:signOwnershipData:	selector	0x00e82dd8	dataWithPropertyList:format:options:error:
0x008b29bc	DynamicWorld	saveGameWithWorldData:signOwnershipData:	selector	0x00e82ddc	setData:forKey:
0x008b29bc	DynamicWorld	saveGameWithWorldData:signOwnershipData:	selector	0x00e82de0	removeAllObjects
0x008b29bc	DynamicWorld	saveGameWithWorldData:signOwnershipData:	selector	0x00e82de4	prepareInventoryForSaving
0x008b29bc	DynamicWorld	saveGameWithWorldData:signOwnershipData:	selector	0x00e82de8	inventoryNeedsSaving
0x008b29bc	DynamicWorld	saveGameWithWorldData:signOwnershipData:	selector	0x00e82dec	saveBlockheadInventory:
0x008b29bc	DynamicWorld	saveGameWithWorldData:signOwnershipData:	selector	0x00e82df0	setInventoryNeedsSaving:
