implementation	class	method	reference_kind	reference_address	value
0x005b3644	World	savePhysicalBlockForMacroTile:sendReliably:dontSend:onlySaveIfClientsNeedIt:	selector	0x00e7ddd4	count
0x005b3644	World	savePhysicalBlockForMacroTile:sendReliably:dontSend:onlySaveIfClientsNeedIt:	selector	0x00e7dde4	countByEnumeratingWithState:objects:count:
0x005b3644	World	savePhysicalBlockForMacroTile:sendReliably:dontSend:onlySaveIfClientsNeedIt:	selector	0x00e7dde8	objectForKey:
0x005b3644	World	savePhysicalBlockForMacroTile:sendReliably:dontSend:onlySaveIfClientsNeedIt:	selector	0x00e7de18	connected
0x005b3644	World	savePhysicalBlockForMacroTile:sendReliably:dontSend:onlySaveIfClientsNeedIt:	selector	0x00e7de28	array
0x005b3644	World	savePhysicalBlockForMacroTile:sendReliably:dontSend:onlySaveIfClientsNeedIt:	selector	0x00e7de34	addObject:
0x005b3644	World	savePhysicalBlockForMacroTile:sendReliably:dontSend:onlySaveIfClientsNeedIt:	selector	0x00e7e534	blockIsWired:
0x005b3644	World	savePhysicalBlockForMacroTile:sendReliably:dontSend:onlySaveIfClientsNeedIt:	selector	0x00e7e538	savePhysicalBlock:macroTile:sendToClients:server:sendReliably:
0x005b4304	World	saveLightBlockForClientLightBlockIndex:physicalBlock:sendNow:	selector	0x00e7dde4	countByEnumeratingWithState:objects:count:
0x005b4304	World	saveLightBlockForClientLightBlockIndex:physicalBlock:sendNow:	selector	0x00e7dde8	objectForKey:
0x005b4304	World	saveLightBlockForClientLightBlockIndex:physicalBlock:sendNow:	selector	0x00e7e180	lightBlockIndex
0x005b4304	World	saveLightBlockForClientLightBlockIndex:physicalBlock:sendNow:	selector	0x00e7e54c	saveLightBlockForClientLightBlockIndex:clientID:physicalBlock:sendNow:
0x00859a84	WorldTileLoader	savePhysicalBlock:macroTile:sendToClients:server:sendReliably:	cfstring	0x00f92408	%@_%d_%d_%d
0x00859a84	WorldTileLoader	savePhysicalBlock:macroTile:sendToClients:server:sendReliably:	cfstring	0x00f92418	hash
0x00859a84	WorldTileLoader	savePhysicalBlock:macroTile:sendToClients:server:sendReliably:	cfstring	0x00f92428	receipts
0x00859a84	WorldTileLoader	savePhysicalBlock:macroTile:sendToClients:server:sendReliably:	cfstring	0x00f92468	t
0x00859a84	WorldTileLoader	savePhysicalBlock:macroTile:sendToClients:server:sendReliably:	cfstring	0x00f92478	r
0x00859a84	WorldTileLoader	savePhysicalBlock:macroTile:sendToClients:server:sendReliably:	cfstring	0x00f924a8	DataSaveException
0x00859a84	WorldTileLoader	savePhysicalBlock:macroTile:sendToClients:server:sendReliably:	cfstring	0x00f924b8	Failed to save tilesData.
0x00859a84	WorldTileLoader	savePhysicalBlock:macroTile:sendToClients:server:sendReliably:	cfstring	0x00f924c8	%d_%d
0x00859a84	WorldTileLoader	savePhysicalBlock:macroTile:sendToClients:server:sendReliably:	selector	0x00e823a8	worldWidthMacro
0x00859a84	WorldTileLoader	savePhysicalBlock:macroTile:sendToClients:server:sendReliably:	selector	0x00e823b0	stringWithFormat:
0x00859a84	WorldTileLoader	savePhysicalBlock:macroTile:sendToClients:server:sendReliably:	selector	0x00e823d0	countByEnumeratingWithState:objects:count:
0x00859a84	WorldTileLoader	savePhysicalBlock:macroTile:sendToClients:server:sendReliably:	selector	0x00e8243c	dataWithBytes:length:
0x00859a84	WorldTileLoader	savePhysicalBlock:macroTile:sendToClients:server:sendReliably:	selector	0x00e82440	appendData:
0x00859a84	WorldTileLoader	savePhysicalBlock:macroTile:sendToClients:server:sendReliably:	selector	0x00e82444	serverClients
0x00859a84	WorldTileLoader	savePhysicalBlock:macroTile:sendToClients:server:sendReliably:	selector	0x00e82448	objectForKey:
0x00859a84	WorldTileLoader	savePhysicalBlock:macroTile:sendToClients:server:sendReliably:	selector	0x00e82450	lightBlockIndex
0x00859a84	WorldTileLoader	savePhysicalBlock:macroTile:sendToClients:server:sendReliably:	selector	0x00e82454	loadLightBlockForClientLightBlockIndex:clientID:intoPhysicalBlock:
0x00859a84	WorldTileLoader	savePhysicalBlock:macroTile:sendToClients:server:sendReliably:	selector	0x00e82458	dictionary
0x00859a84	WorldTileLoader	savePhysicalBlock:macroTile:sendToClients:server:sendReliably:	selector	0x00e8245c	playerIsAdminWithID:
0x00859a84	WorldTileLoader	savePhysicalBlock:macroTile:sendToClients:server:sendReliably:	selector	0x00e82460	stringFromMD5
0x00859a84	WorldTileLoader	savePhysicalBlock:macroTile:sendToClients:server:sendReliably:	selector	0x00e82464	setObject:forKey:
0x00859a84	WorldTileLoader	savePhysicalBlock:macroTile:sendToClients:server:sendReliably:	selector	0x00e82468	getAndRemoveAllRecieptDataForMacroPos:world:
0x00859a84	WorldTileLoader	savePhysicalBlock:macroTile:sendToClients:server:sendReliably:	selector	0x00e82474	appendBytes:length:
0x00859a84	WorldTileLoader	savePhysicalBlock:macroTile:sendToClients:server:sendReliably:	selector	0x00e82478	gzipDeflate
0x00859a84	WorldTileLoader	savePhysicalBlock:macroTile:sendToClients:server:sendReliably:	selector	0x00e8247c	arrayWithObject:
0x00859a84	WorldTileLoader	savePhysicalBlock:macroTile:sendToClients:server:sendReliably:	selector	0x00e82480	sendNetworkData:toPeers:reliable:
0x00859a84	WorldTileLoader	savePhysicalBlock:macroTile:sendToClients:server:sendReliably:	selector	0x00e82488	raise:format:
0x00859a84	WorldTileLoader	savePhysicalBlock:macroTile:sendToClients:server:sendReliably:	selector	0x00e8248c	setData:forKey:
0x00859a84	WorldTileLoader	savePhysicalBlock:macroTile:sendToClients:server:sendReliably:	selector	0x00e82490	count
0x0085e6b0	WorldTileLoader	loadPhysicalBlock:atXPos:yPos:createIfNotCreated:	cfstring	0x00f924c8	%d_%d
0x0085e6b0	WorldTileLoader	loadPhysicalBlock:atXPos:yPos:createIfNotCreated:	cfstring	0x00f924d8	%d_%d_physicalBlock
0x0085e6b0	WorldTileLoader	loadPhysicalBlock:atXPos:yPos:createIfNotCreated:	cfstring	0x00f924e8	%d_%d_compressedBlock
0x0085e6b0	WorldTileLoader	loadPhysicalBlock:atXPos:yPos:createIfNotCreated:	selector	0x00e823a8	worldWidthMacro
0x0085e6b0	WorldTileLoader	loadPhysicalBlock:atXPos:yPos:createIfNotCreated:	selector	0x00e823b0	stringWithFormat:
0x0085e6b0	WorldTileLoader	loadPhysicalBlock:atXPos:yPos:createIfNotCreated:	selector	0x00e823c8	defaultManager
0x0085e6b0	WorldTileLoader	loadPhysicalBlock:atXPos:yPos:createIfNotCreated:	selector	0x00e823d4	length
