implementation	class	method	reference_kind	reference_address	value
0x00555a84	World	saveAll	cfstring	0x00f7a0a8	randomSeed
0x00555a84	World	saveAll	cfstring	0x00f7a0b8	worldTime
0x00555a84	World	saveAll	cfstring	0x00f7a0c8	noRainTimer
0x00555a84	World	saveAll	cfstring	0x00f7a0e8	startPortalPos.x
0x00555a84	World	saveAll	cfstring	0x00f7a0f8	startPortalPos.y
0x00555a84	World	saveAll	cfstring	0x00f7a128	portalLevel
0x00555a84	World	saveAll	cfstring	0x00f7a138	saveID
0x00555a84	World	saveAll	cfstring	0x00f7a148	worldWidthMacro
0x00555a84	World	saveAll	cfstring	0x00f7a158	expertMode
0x00555a84	World	saveAll	cfstring	0x00f7a168	worldName
0x00555a84	World	saveAll	cfstring	0x00f7a198	privacy
0x00555a84	World	saveAll	cfstring	0x00f7a1a8	serverPassword
0x00555a84	World	saveAll	cfstring	0x00f7a208	welcomeMessage
0x00555a84	World	saveAll	cfstring	0x00f7a258	%@_blockheadDatasv2
0x00555a84	World	saveAll	cfstring	0x00f7a268	blockheadDatasv2
0x00555a84	World	saveAll	cfstring	0x00f7a278	previewImageData
0x00555a84	World	saveAll	cfstring	0x00f7a288	migrationComplete_1.7
0x00555a84	World	saveAll	cfstring	0x00f7a298	translation
0x00555a84	World	saveAll	cfstring	0x00f7a2a8	saveDate
0x00555a84	World	saveAll	cfstring	0x00f7a2b8	hostPort
0x00555a84	World	saveAll	cfstring	0x00f7a2c8	pvpDisabled
0x00555a84	World	saveAll	cfstring	0x00f7a2d8	maxPlayers
0x00555a84	World	saveAll	cfstring	0x00f7a2e8	runAtLaunch
0x00555a84	World	saveAll	cfstring	0x00f7a2f8	creationDate
0x00555a84	World	saveAll	cfstring	0x00f7a308	saveVersion
0x00555a84	World	saveAll	cfstring	0x00f7a318	remoteGame
0x00555a84	World	saveAll	cfstring	0x00f7a328	clientPassword
0x00555a84	World	saveAll	cfstring	0x00f7a338	foundItems
0x00555a84	World	saveAll	cfstring	0x00f7a348	playerID
0x00555a84	World	saveAll	cfstring	0x00f7a358	cloudGame
0x00555a84	World	saveAll	cfstring	0x00f7a368	isOwner
0x00555a84	World	saveAll	cfstring	0x00f7a378	customRulesDict
0x00555a84	World	saveAll	cfstring	0x00f7a388	distanceOrderedFoodTypes
0x00555a84	World	saveAll	cfstring	0x00f7a398	circumNavigateBooleansData
0x00555a84	World	saveAll	cfstring	0x00f7a3a8	tutorial
0x00555a84	World	saveAll	selector	0x00e7dda0	dataWithBytes:length:
0x00555a84	World	saveAll	selector	0x00e7dda4	numberWithUnsignedInt:
0x00555a84	World	saveAll	selector	0x00e7dda8	numberWithDouble:
0x00555a84	World	saveAll	selector	0x00e7ddac	numberWithFloat:
0x00555a84	World	saveAll	selector	0x00e7ddb4	numberWithInt:
0x00555a84	World	saveAll	selector	0x00e7ddb8	numberWithBool:
0x00555a84	World	saveAll	selector	0x00e7ddc0	setObject:forKey:
0x00555a84	World	saveAll	selector	0x00e7dde4	countByEnumeratingWithState:objects:count:
0x00555a84	World	saveAll	selector	0x00e7de28	array
0x00555a84	World	saveAll	selector	0x00e7de2c	blockheads
0x00555a84	World	saveAll	selector	0x00e7de30	previewData
0x00555a84	World	saveAll	selector	0x00e7de34	addObject:
0x00555a84	World	saveAll	selector	0x00e7de38	localPlayerID
0x00555a84	World	saveAll	selector	0x00e7de3c	stringWithFormat:
0x00555a84	World	saveAll	selector	0x00e7de40	getDefaultGameSaveForWorldWithID:
0x00555a84	World	saveAll	selector	0x00e7de44	dictionaryWithDictionary:
0x00555a84	World	saveAll	selector	0x00e7de48	migrationComplete
0x00555a84	World	saveAll	selector	0x00e7de4c	arrayWithObjects:
0x00555a84	World	saveAll	selector	0x00e7de50	date
0x00555a84	World	saveAll	selector	0x00e7de54	retain
0x00555a84	World	saveAll	selector	0x00e7de58	removeObjectForKey:
0x00555a84	World	saveAll	selector	0x00e7de5c	isCloudMatch
0x00555a84	World	saveAll	selector	0x00e7de60	privacyString
0x00555a84	World	saveAll	selector	0x00e7de64	data
0x00555a84	World	saveAll	selector	0x00e7de68	alloc
0x00555a84	World	saveAll	selector	0x00e7de6c	initForWritingWithMutableData:
0x00555a84	World	saveAll	selector	0x00e7de70	encodeObject:forKey:
0x00555a84	World	saveAll	selector	0x00e7de74	finishEncoding
0x00555a84	World	saveAll	selector	0x00e7de78	release
0x00555a84	World	saveAll	selector	0x00e7de7c	portal
0x00555a84	World	saveAll	selector	0x00e7de80	level
0x00555a84	World	saveAll	selector	0x00e7de84	archivedDataWithRootObject:
0x00555a84	World	saveAll	selector	0x00e7de88	getSaveDict
0x00555a84	World	saveAll	selector	0x00e7de8c	saveGameWithWorldData:signOwnershipData:
0x00557c40	World	loadGame	cfstring	0x00f7a0a8	randomSeed
0x00557c40	World	loadGame	cfstring	0x00f7a0b8	worldTime
0x00557c40	World	loadGame	cfstring	0x00f7a0c8	noRainTimer
0x00557c40	World	loadGame	cfstring	0x00f7a0e8	startPortalPos.x
0x00557c40	World	loadGame	cfstring	0x00f7a0f8	startPortalPos.y
0x00557c40	World	loadGame	cfstring	0x00f7a128	portalLevel
0x00557c40	World	loadGame	cfstring	0x00f7a1a8	serverPassword
0x00557c40	World	loadGame	cfstring	0x00f7a208	welcomeMessage
0x00557c40	World	loadGame	cfstring	0x00f7a258	%@_blockheadDatasv2
0x00557c40	World	loadGame	cfstring	0x00f7a268	blockheadDatasv2
0x00557c40	World	loadGame	cfstring	0x00f7a278	previewImageData
0x00557c40	World	loadGame	cfstring	0x00f7a288	migrationComplete_1.7
0x00557c40	World	loadGame	cfstring	0x00f7a298	translation
0x00557c40	World	loadGame	cfstring	0x00f7a2a8	saveDate
0x00557c40	World	loadGame	cfstring	0x00f7a2b8	hostPort
0x00557c40	World	loadGame	cfstring	0x00f7a2c8	pvpDisabled
0x00557c40	World	loadGame	cfstring	0x00f7a2d8	maxPlayers
0x00557c40	World	loadGame	cfstring	0x00f7a2f8	creationDate
0x00557c40	World	loadGame	cfstring	0x00f7a308	saveVersion
0x00557c40	World	loadGame	cfstring	0x00f7a338	foundItems
0x00557c40	World	loadGame	cfstring	0x00f7a348	playerID
0x00557c40	World	loadGame	cfstring	0x00f7a378	customRulesDict
0x00557c40	World	loadGame	cfstring	0x00f7a388	distanceOrderedFoodTypes
0x00557c40	World	loadGame	cfstring	0x00f7a398	circumNavigateBooleansData
0x00557c40	World	loadGame	cfstring	0x00f7a3a8	tutorial
0x00557c40	World	loadGame	cfstring	0x00f7a3b8	worldv2
0x00557c40	World	loadGame	cfstring	0x00f7a3c8	%@/saves/%@/worldv2
0x00557c40	World	loadGame	cfstring	0x00f7a3d8	%@/saves/%@/world
0x00557c40	World	loadGame	cfstring	0x00f7a3e8	%@_blockheadDatas
0x00557c40	World	loadGame	cfstring	0x00f7a3f8	blockheadDatas
0x00557c40	World	loadGame	cfstring	0x00f7a408	CLOUD:SETTING:PASSWORD:ON
0x00557c40	World	loadGame	cfstring	0x00f7a418	CLOUD:SETTING:PASSWORD:OFF
0x00557c40	World	loadGame	cfstring	0x00f7a428	CLOUD:SETTING:PVP:ON
0x00557c40	World	loadGame	cfstring	0x00f7a438	CLOUD:SETTING:PVP:OFF
0x00557c40	World	loadGame	cfstring	0x00f7a448	%@/saves/%@/circumNavigateBooleans
0x00557c40	World	loadGame	cfstring	0x00f7a458	%@/saves/%@/signOwnershipData
0x00557c40	World	loadGame	cfstring	0x00f7a468	signOwnershipData
0x00557c40	World	loadGame	selector	0x00e7dd98	instance
0x00557c40	World	loadGame	selector	0x00e7dd9c	setListenerPosition:zoom:
0x00557c40	World	loadGame	selector	0x00e7ddc0	setObject:forKey:
0x00557c40	World	loadGame	selector	0x00e7ddd4	count
0x00557c40	World	loadGame	selector	0x00e7dde4	countByEnumeratingWithState:objects:count:
0x00557c40	World	loadGame	selector	0x00e7dde8	objectForKey:
0x00557c40	World	loadGame	selector	0x00e7de04	length
0x00557c40	World	loadGame	selector	0x00e7de3c	stringWithFormat:
0x00557c40	World	loadGame	selector	0x00e7de54	retain
0x00557c40	World	loadGame	selector	0x00e7de5c	isCloudMatch
0x00557c40	World	loadGame	selector	0x00e7de68	alloc
0x00557c40	World	loadGame	selector	0x00e7de78	release
0x00557c40	World	loadGame	selector	0x00e7de94	dataForKey:
0x00557c40	World	loadGame	selector	0x00e7de98	objectAtIndex:
0x00557c40	World	loadGame	selector	0x00e7de9c	defaultManager
0x00557c40	World	loadGame	selector	0x00e7dea0	fileExistsAtPath:
0x00557c40	World	loadGame	selector	0x00e7dea4	dataWithContentsOfFile:
0x00557c40	World	loadGame	selector	0x00e7dea8	dictionaryWithContentsOfFile:
0x00557c40	World	loadGame	selector	0x00e7deac	initWithDictionary:
0x00557c40	World	loadGame	selector	0x00e7deb0	customRulesChanged
0x00557c40	World	loadGame	selector	0x00e7deb4	boolValue
0x00557c40	World	loadGame	selector	0x00e7deb8	unsignedIntValue
0x00557c40	World	loadGame	selector	0x00e7debc	floatValue
0x00557c40	World	loadGame	selector	0x00e7dec0	doubleValue
0x00557c40	World	loadGame	selector	0x00e7dec4	timeIntervalSinceReferenceDate
0x00557c40	World	loadGame	selector	0x00e7dec8	intValue
0x00557c40	World	loadGame	selector	0x00e7decc	initForReadingWithData:
0x00557c40	World	loadGame	selector	0x00e7ded0	decodeObjectForKey:
0x00557c40	World	loadGame	selector	0x00e7ded4	autorelease
0x00557c40	World	loadGame	selector	0x00e7ded8	finishDecoding
0x00557c40	World	loadGame	selector	0x00e7dedc	addIndexes:
0x00557c40	World	loadGame	selector	0x00e7dee0	addIndexesInRange:
0x00557c40	World	loadGame	selector	0x00e7dee4	bytes
0x00557c40	World	loadGame	selector	0x00e7dee8	unarchiveObjectWithData:
0x00557c40	World	loadGame	selector	0x00e7deec	mutableCopy
0x00557c40	World	loadGame	selector	0x00e7def0	unarchiveObjectWithFile:
0x00557c40	World	loadGame	selector	0x00e7def4	init
0x00557c40	World	loadGame	selector	0x00e7def8	removeItemAtPath:error:
0x00557c40	World	loadGame	selector	0x00e7defc	initWithWorld:saveDict:
0x0055b2e8	World	loadDefaultGame	cfstring	0x00f7a418	CLOUD:SETTING:PASSWORD:OFF
0x0055b2e8	World	loadDefaultGame	cfstring	0x00f7a428	CLOUD:SETTING:PVP:ON
0x0055b2e8	World	loadDefaultGame	selector	0x00e7de5c	isCloudMatch
